Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Comparacoes;Copias
1;1000;BubbleSort;16/05/2019 15:14:23;27050942;1259817;776448
1;1000;BubbleSort;16/05/2019 15:14:23;13947329;1259817;776448
1;1000;QuickSort Recursivo;16/05/2019 15:14:23;2202567;25483;19725
1;1000;QuickSort Mediana 3;16/05/2019 15:14:23;3093177;41969;19800
1;1000;QuickSort Mediana 5;16/05/2019 15:14:23;21608405;55709;19800
1;1000;QuickSort Hibrido 10;16/05/2019 15:14:23;10100821;25482;19725
1;1000;QuickSort Hibrido 100;16/05/2019 15:14:23;136598;25482;19725
1;1000;InsertionSort;16/05/2019 15:14:23;23854126;260816;999
1;1000;MergeSort;16/05/2019 15:14:23;23094339;48602;9681
1;1000;HeapSort;16/05/2019 15:14:23;2976287;30287;27285
1;1000;ShellSort;16/05/2019 15:14:23;3821363;41025;8277
1;5000;BubbleSort;16/05/2019 15:14:30;262073601;31143905;18506694
1;5000;BubbleSort;16/05/2019 15:14:30;277405265;31143905;18506694
1;5000;QuickSort Recursivo;16/05/2019 15:14:30;1219193;186772;106998
1;5000;QuickSort Mediana 3;16/05/2019 15:14:30;1481857;268988;148065
1;5000;QuickSort Mediana 5;16/05/2019 15:14:30;2496832;343368;148065
1;5000;QuickSort Hibrido 10;16/05/2019 15:14:30;1198126;186771;106998
1;5000;QuickSort Hibrido 100;16/05/2019 15:14:30;1292590;186771;106998
1;5000;InsertionSort;16/05/2019 15:14:30;98406723;6178892;4996
1;5000;MergeSort;16/05/2019 15:14:30;56899436;289915;59651
1;5000;HeapSort;16/05/2019 15:14:31;2003786;185763;170772
1;5000;ShellSort;16/05/2019 15:14:31;22062374;301785;53409
1;10000;BubbleSort;16/05/2019 15:14:46;812807920;124904704;75103983
1;10000;BubbleSort;16/05/2019 15:14:46;822323950;124904704;75103983
1;10000;QuickSort Recursivo;16/05/2019 15:14:47;2139025;400869;243873
1;10000;QuickSort Mediana 3;16/05/2019 15:14:47;2531831;644747;359070
1;10000;QuickSort Mediana 5;16/05/2019 15:14:47;4250867;804487;359070
1;10000;QuickSort Hibrido 10;16/05/2019 15:14:47;2094852;400868;243873
1;10000;QuickSort Hibrido 100;16/05/2019 15:14:47;2029950;400868;243873
1;10000;InsertionSort;16/05/2019 15:14:47;167007087;25054647;9992
1;10000;MergeSort;16/05/2019 15:14:47;123921440;618956;128493
1;10000;HeapSort;16/05/2019 15:14:47;4331400;400551;370572
1;10000;ShellSort;16/05/2019 15:14:47;12535470;774230;120227
1;50000;BubbleSort;16/05/2019 15:16:20;46796807195;-1168148868;1881805221
1;50000;BubbleSort;16/05/2019 15:17:07;46550962664;-1168148868;1881805221
1;50000;QuickSort Recursivo;16/05/2019 15:17:54;21816701;3569693;1681773
1;50000;QuickSort Mediana 3;16/05/2019 15:17:54;21186375;5272704;3613359
1;50000;QuickSort Mediana 5;16/05/2019 15:17:54;25153512;6174404;3613359
1;50000;QuickSort Hibrido 10;16/05/2019 15:17:54;19775537;3569692;1681773
1;50000;QuickSort Hibrido 100;16/05/2019 15:17:54;21205064;3569692;1681773
1;50000;InsertionSort;16/05/2019 15:17:54;11952556789;627368397;49994
1;50000;MergeSort;16/05/2019 15:18:06;2697211520;3539560;736475
1;50000;HeapSort;16/05/2019 15:18:09;41299331;2342679;2192694
1;50000;ShellSort;16/05/2019 15:18:09;77406896;7789061;690885
1;100000;BubbleSort;16/05/2019 15:22:01;250028149507;-395795738;7469418411
1;100000;BubbleSort;16/05/2019 15:26:11;212708953223;-395795738;7469418411
1;100000;QuickSort Recursivo;16/05/2019 15:29:44;66282265;10722610;3915072
1;100000;QuickSort Mediana 3;16/05/2019 15:29:44;66314546;15415614;12382047
1;100000;QuickSort Mediana 5;16/05/2019 15:29:44;71175010;17282794;12382047
1;100000;QuickSort Hibrido 10;16/05/2019 15:29:44;66534394;10722609;3915072
1;100000;QuickSort Hibrido 100;16/05/2019 15:29:44;72262361;10722609;3915072
1;100000;InsertionSort;16/05/2019 15:29:44;77895750458;-1804961167;99995
1;100000;MergeSort;16/05/2019 15:31:02;10051458938;7450408;1543883
1;100000;HeapSort;16/05/2019 15:31:12;83467185;4978364;4678374
1;100000;ShellSort;16/05/2019 15:31:12;196895677;23347973;1522798
1;500000;BubbleSort;16/05/2019 16:47:52;4030803379219;-1136719438;187195179489
1;500000;BubbleSort;16/05/2019 17:55:03;4191558021957;-1136719438;187195179489
1;500000;QuickSort Recursivo;16/05/2019 19:04:55;1489206842;225269648;89970879
1;500000;QuickSort Mediana 3;16/05/2019 19:04:56;1050572066;268714696;252167136
1;500000;QuickSort Mediana 5;16/05/2019 19:04:58;1071769995;278473256;252167136
1;500000;QuickSort Hibrido 10;16/05/2019 19:04:59;1482869957;225269647;89970879
1;500000;QuickSort Hibrido 100;16/05/2019 19:05:00;1594900862;225269647;89970879
1;500000;InsertionSort;16/05/2019 19:05:02;1759730503862;-2025116283;499996
1;500000;MergeSort;16/05/2019 19:34:22;255092704920;41300568;8373646
1;500000;HeapSort;16/05/2019 19:38:37;741797033;28234194;26734203
1;500000;ShellSort;16/05/2019 19:38:37;2997211962;410019296;8968512
2;1000;BubbleSort;16/05/2019 21:49:32;30469304;1246891;737670
2;1000;BubbleSort;16/05/2019 21:49:32;5681415;1246891;737670
2;1000;QuickSort Recursivo;16/05/2019 21:49:32;4806776;26590;15741
2;1000;QuickSort Mediana 3;16/05/2019 21:49:32;3396956;43504;20070
2;1000;QuickSort Mediana 5;16/05/2019 21:49:32;680954;57144;20070
2;1000;QuickSort Hibrido 10;16/05/2019 21:49:32;346594;26589;15741
2;1000;QuickSort Hibrido 100;16/05/2019 21:49:32;1110119;26589;15741
2;1000;InsertionSort;16/05/2019 21:49:32;27047204;247890;999
2;1000;MergeSort;16/05/2019 21:49:32;33845193;48613;9692
2;1000;HeapSort;16/05/2019 21:49:32;3298754;30218;27216
2;1000;ShellSort;16/05/2019 21:49:32;3607630;39753;8277
2;5000;BubbleSort;16/05/2019 21:49:39;281685015;31164572;18538707
