Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Memoria Gasta;Comparacoes;Colisoes
1;1000;Sondagem Linear;15/05/2019 16:19;9024100;873075904;1;0
1;1000;Sondagem Quadratica;15/05/2019 16:19;64300;873419656;1;0
1;1000;Duplo Hashing;15/05/2019 16:19;34400;873419656;1;0
1;1000;Encadeamento Separado;15/05/2019 16:19;80700;873419656;1;0
1;1000;Encadeamento Coalescido;15/05/2019 16:19;86500;873419656;1;0
1;5000;Sondagem Linear;15/05/2019 16:19;12600;873419656;1;0
1;5000;Sondagem Quadratica;15/05/2019 16:19;11700;873419656;1;0
1;5000;Duplo Hashing;15/05/2019 16:19;16000;873419656;1;0
1;5000;Encadeamento Separado;15/05/2019 16:19;11700;873419656;1;0
1;5000;Encadeamento Coalescido;15/05/2019 16:19;15500;873436056;1;0
1;10000;Sondagem Linear;15/05/2019 16:19;11700;873771600;1;0
1;10000;Sondagem Quadratica;15/05/2019 16:19;12000;873771600;1;0
1;10000;Duplo Hashing;15/05/2019 16:19;9400;873771600;1;0
1;10000;Encadeamento Separado;15/05/2019 16:19;13100;873771600;1;0
1;10000;Encadeamento Coalescido;15/05/2019 16:19;12000;873771600;1;0
1;50000;Sondagem Linear;15/05/2019 16:19;18700;873771600;1;0
1;50000;Sondagem Quadratica;15/05/2019 16:19;12400;873771600;1;0
1;50000;Duplo Hashing;15/05/2019 16:19;8000;873771600;1;0
1;50000;Encadeamento Separado;15/05/2019 16:19;7700;874107144;1;0
1;50000;Encadeamento Coalescido;15/05/2019 16:19;11700;874107144;1;0
1;100000;Sondagem Linear;15/05/2019 16:19;19800;874107144;1;0
1;100000;Sondagem Quadratica;15/05/2019 16:19;10500;874107144;1;0
1;100000;Duplo Hashing;15/05/2019 16:19;11200;874107144;1;0
1;100000;Encadeamento Separado;15/05/2019 16:19;8700;874107144;1;0
1;100000;Encadeamento Coalescido;15/05/2019 16:19;11500;874107144;1;0
1;500000;Sondagem Linear;15/05/2019 16:19;19500;874123544;1;0
1;500000;Sondagem Quadratica;15/05/2019 16:19;8800;874467296;1;0
1;500000;Duplo Hashing;15/05/2019 16:19;11100;874467296;1;0
1;500000;Encadeamento Separado;15/05/2019 16:19;10500;874467296;1;0
1;500000;Encadeamento Coalescido;15/05/2019 16:19;11800;874467296;1;0
1;1000000;Sondagem Linear;15/05/2019 16:19;14500;874467296;1;0
1;1000000;Sondagem Quadratica;15/05/2019 16:19;8500;874467296;1;0
1;1000000;Duplo Hashing;15/05/2019 16:19;9600;874467296;1;0
1;1000000;Encadeamento Separado;15/05/2019 16:19;42000;874483696;1;0
1;1000000;Encadeamento Coalescido;15/05/2019 16:19;11500;874835656;1;0
2;1000;Sondagem Linear;15/05/2019 16:19;17700;874835656;1;0
2;1000;Sondagem Quadratica;15/05/2019 16:19;19300;874835656;1;0
2;1000;Duplo Hashing;15/05/2019 16:19;11500;874835656;1;0
2;1000;Encadeamento Separado;15/05/2019 16:19;11400;874835656;1;0
2;1000;Encadeamento Coalescido;15/05/2019 16:19;12900;874835656;1;0
2;5000;Sondagem Linear;15/05/2019 16:19;16100;874835656;1;0
2;5000;Sondagem Quadratica;15/05/2019 16:19;12100;874852056;1;0
2;5000;Duplo Hashing;15/05/2019 16:19;18700;875195808;1;0
2;5000;Encadeamento Separado;15/05/2019 16:19;11400;875195808;1;0
2;5000;Encadeamento Coalescido;15/05/2019 16:19;15500;875195808;1;0
2;10000;Sondagem Linear;15/05/2019 16:19;22300;875195808;1;0
2;10000;Sondagem Quadratica;15/05/2019 16:19;12800;875195808;1;0
2;10000;Duplo Hashing;15/05/2019 16:19;12800;875195808;1;0
2;10000;Encadeamento Separado;15/05/2019 16:19;8500;875195808;1;0
2;10000;Encadeamento Coalescido;15/05/2019 16:19;12500;875547752;1;0
2;50000;Sondagem Linear;15/05/2019 16:19;10400;875547752;1;0
2;50000;Sondagem Quadratica;15/05/2019 16:19;10700;875547752;1;0
2;50000;Duplo Hashing;15/05/2019 16:19;11500;875547752;1;0
2;50000;Encadeamento Separado;15/05/2019 16:19;4000;875547752;1;0
2;50000;Encadeamento Coalescido;15/05/2019 16:19;4637000;875547752;1;0
2;100000;Sondagem Linear;15/05/2019 16:19;12500;875547752;1;0
2;100000;Sondagem Quadratica;15/05/2019 16:19;4400;875891136;1;0
2;100000;Duplo Hashing;15/05/2019 16:19;3600;875891136;1;0
2;100000;Encadeamento Separado;15/05/2019 16:19;3800;875891136;1;0
2;100000;Encadeamento Coalescido;15/05/2019 16:19;6300;875891136;1;0
2;500000;Sondagem Linear;15/05/2019 16:19;4000;875891136;1;0
2;500000;Sondagem Quadratica;15/05/2019 16:19;4700;875891136;1;0
2;500000;Duplo Hashing;15/05/2019 16:19;4600;875891136;1;0
2;500000;Encadeamento Separado;15/05/2019 16:19;3900;875899920;1;0
2;500000;Encadeamento Coalescido;15/05/2019 16:19;5700;876243672;1;0
2;1000000;Sondagem Linear;15/05/2019 16:19;5200;876243672;1;0
2;1000000;Sondagem Quadratica;15/05/2019 16:19;4400;876243672;1;0
2;1000000;Duplo Hashing;15/05/2019 16:19;4400;876243672;1;0
2;1000000;Encadeamento Separado;15/05/2019 16:19;4300;876243672;1;0
2;1000000;Encadeamento Coalescido;15/05/2019 16:19;14200;876243672;1;0
3;1000;Sondagem Linear;15/05/2019 16:19;4800;876253440;1;0
3;1000;Sondagem Quadratica;15/05/2019 16:19;5500;876597192;1;0
3;1000;Duplo Hashing;15/05/2019 16:19;8300;876597192;1;0
3;1000;Encadeamento Separado;15/05/2019 16:19;3400;876597192;1;0
3;1000;Encadeamento Coalescido;15/05/2019 16:19;4700;876597192;1;0
3;5000;Sondagem Linear;15/05/2019 16:19;10000;876597192;1;0
3;5000;Sondagem Quadratica;15/05/2019 16:19;4600;876597192;1;0
3;5000;Duplo Hashing;15/05/2019 16:19;4000;876607888;1;0
3;5000;Encadeamento Separado;15/05/2019 16:19;3900;876951640;1;0
3;5000;Encadeamento Coalescido;15/05/2019 16:19;5100;876951640;1;0
3;10000;Sondagem Linear;15/05/2019 16:19;4600;876951640;1;0
3;10000;Sondagem Quadratica;15/05/2019 16:19;3600;876951640;1;0
3;10000;Duplo Hashing;15/05/2019 16:19;4200;876951640;1;0
3;10000;Encadeamento Separado;15/05/2019 16:19;4900;876951640;1;0
3;10000;Encadeamento Coalescido;15/05/2019 16:19;5500;877298808;1;0
3;50000;Sondagem Linear;15/05/2019 16:19;4200;877298808;1;0
3;50000;Sondagem Quadratica;15/05/2019 16:19;3800;877298808;1;0
3;50000;Duplo Hashing;15/05/2019 16:19;11000;877298808;1;0
3;50000;Encadeamento Separado;15/05/2019 16:19;5000;877298808;1;0
3;50000;Encadeamento Coalescido;15/05/2019 16:19;7300;877298808;1;0
3;100000;Sondagem Linear;15/05/2019 16:19;4800;877298808;1;0
3;100000;Sondagem Quadratica;15/05/2019 16:19;5500;877642560;1;0
3;100000;Duplo Hashing;15/05/2019 16:19;4800;877642560;1;0
3;100000;Encadeamento Separado;15/05/2019 16:19;4000;877642560;1;0
3;100000;Encadeamento Coalescido;15/05/2019 16:19;5600;877642560;1;0
3;500000;Sondagem Linear;15/05/2019 16:19;13200;877642560;1;0
3;500000;Sondagem Quadratica;15/05/2019 16:19;4900;877642560;1;0
3;500000;Duplo Hashing;15/05/2019 16:19;4400;877991496;1;0
3;500000;Encadeamento Separado;15/05/2019 16:19;5000;877991496;1;0
3;500000;Encadeamento Coalescido;15/05/2019 16:19;5000;877991496;1;0
3;1000000;Sondagem Linear;15/05/2019 16:19;4700;877991496;1;0
3;1000000;Sondagem Quadratica;15/05/2019 16:19;6500;877991496;1;0
3;1000000;Duplo Hashing;15/05/2019 16:19;4400;877991496;1;0
3;1000000;Encadeamento Separado;15/05/2019 16:19;5000;877991496;1;0
